First name;Number;First name (< 18);Number of carriers (< 18);First name (18-64);Number of carriers (18-64);First name (65+);Number of carriers (65+)
"""Arthur""";996;"""Adrian""";222;"""Raphaël""";646;"""Emmanuel""";86
"""Denis""";984;"""Sebastian""";213;"""Joseph""";625;"""Ferdinand""";84
"""Dimitri""";636;"""Moussa""";141;"""Pedro""";427;"""Abderrahman""";50
"""Ilyas""";545;"""Badr""";125;"""Abdellatif""";358;"""Thomas""";39
"""Farid""";530;"""Yusuf""";124;"""Eddy""";348;"""Alexis""";36
"""Tarik""";487;"""Maxence""";117;"""Sylvain""";321;"""Raphaël""";33
"""Marius""";416;"""Sofian""";101;"""Yvan""";277;"""Corneille""";27
"""Yanis""";407;"""Léon""";98;"""Hugo""";266;"""Nikolaos""";26
"""Fernand""";406;"""Adnane""";97;"""Cristian""";265;"""Tahar""";26
"""Murat""";379;"""Elie""";92;"""Oussama""";240;"""Ramon""";24
"""Dirk""";322;"""Bastien""";83;"""Jimmy""";205;"""Isaac""";19
"""Jean-Louis""";319;"""Gauthier""";83;"""Ahmad""";204;"""Leonardo""";19
"""Pawel""";315;"""Kenan""";82;"""Sebastien""";201;"""Youssef""";19
"""Redouan""";299;"""Angelo""";76;"""Johnny""";187;"""Filippo""";17
"""Abdelkrim""";251;"""Alejandro""";62;"""Rudi""";155;"""Tony""";14
"""Leonardo""";224;"""Raphael""";55;"""Othman""";134;"""Rabah""";12
"""Johnny""";214;"""Ziyad""";54;"""Johannes""";130;"""Augustinus""";11
"""Ronald""";206;"""Dario""";52;"""Jesus""";124;"""Kemal""";11
"""Yasser""";195;"""Matias""";50;"""Oumar""";116;"""Bekir""";10
"""Anton""";193;"""Allan""";49;"""Domenico""";115;"""Célestin""";10
"""Hakan""";172;"""Jacob""";42;"""Rémi""";104;"""Ralph""";9
"""Jaroslaw""";170;"""Tolga""";42;"""Henry""";101;"""Stefano""";9
"""Raphael""";143;"""Marcos""";35;"""Sandro""";84;"""Ferdinando""";7
"""Alfredo""";134;"""Mimoun""";33;"""Alban""";78;"""Philemon""";7
"""Fayçal""";133;"""Rafaël""";33;"""Benaissa""";78;"""Riza""";7
"""Pol""";124;"""Erdem""";31;"""Bram""";74;"""Amor""";6
"""Enrique""";123;"""Jabir""";31;"""Hendrik""";74;"""Andréas""";6
"""Mauro""";118;"""Ozan""";30;"""Eduard""";70;"""Erick""";6
"""Giorgio""";111;"""Matheus""";28;"""Giacomo""";64;"""Mihaly""";6
"""Sinan""";108;"""Vlad""";27;"""Niels""";62;"""Vasilios""";6
"""Ayhan""";105;"""Konstantinos""";26;"""Ilhan""";61;"""Abderrahim""";5
"""Cyrille""";99;"""Loris""";25;"""Abdelhalim""";58;"""Christophe""";5
"""Yousef""";91;"""Nikita""";23;"""Muhammed""";54;"""Massimo""";5
"""Johann""";86;"""Ralph""";22;"""Fikri""";52;"""Tom""";5
"""Nolan""";83;"""Félicien""";21;"""Engin""";51;;
"""Zouhair""";80;"""Bayram""";20;"""Taner""";50;;
"""Badreddine""";79;"""Berkant""";20;"""Vassilios""";50;;
"""Rafaël""";79;"""Hadi""";20;"""Hossein""";49;;
"""Claudiu""";76;"""Amr""";19;"""Silvio""";48;;
"""Can""";68;"""Cristiano""";17;"""Diogo""";42;;
"""Okan""";68;"""Gustavo""";17;"""Konstantin""";42;;
"""Adolphe""";67;"""Jaime""";17;"""Nestor""";42;;
"""António""";67;"""Jefferson""";17;"""Oktay""";42;;
"""Seyed""";66;"""Abdil""";16;"""Martial""";41;;
"""Celal""";64;"""Daan""";16;"""Smail""";41;;
"""Harun""";64;"""Gaspar""";16;"""Enzo""";40;;
"""Salman""";64;"""Hossam""";16;"""Ludwig""";40;;
"""Emanuele""";62;"""Yan""";16;"""Goran""";39;;
"""Kazimierz""";60;"""Josue""";15;"""Danilo""";37;;
"""Fikri""";58;"""Anasse""";14;"""Gaétan""";35;;
"""Ramzi""";57;"""Eugène""";14;"""Andrey""";34;;
"""Iosif""";55;"""Rodrigue""";14;"""Franklin""";33;;
"""Abdoullah""";54;"""Viggo""";14;"""Moïse""";33;;
"""Gabor""";54;"""Albin""";13;"""Suat""";33;;
"""Afrim""";53;"""Audric""";13;"""Badreddine""";32;;
"""Fikret""";53;"""Cemil""";13;"""Hyusein""";32;;
"""Joffrey""";53;"""Egon""";13;"""Léonard""";32;;
"""Jürgen""";53;"""Elton""";13;"""Manfred""";32;;
"""Muzaffer""";52;"""Loqmane""";13;"""Jihad""";31;;
"""Tuncay""";47;"""Si""";12;"""Nelu""";28;;
"""Smail""";44;"""Ihab""";11;"""Jeremie""";26;;
"""Bajram""";43;"""Johnny""";11;"""Mahmood""";26;;
"""Ozan""";43;"""Magnus""";11;"""Timo""";26;;
"""Sérgio""";41;"""Casper""";10;"""Aliou""";24;;
"""Boubker""";40;"""Dervis""";10;"""Cataldo""";24;;
"""Salomon""";39;"""Lloyd""";10;"""Tufan""";24;;
"""Terry""";38;"""Ruslan""";10;"""Riadh""";23;;
"""Turan""";38;"""Sebastiano""";10;"""Rolando""";23;;
"""Jean-Sébastien""";37;"""Stanley""";10;"""Stylianos""";23;;
"""Vasco""";37;"""Yakup""";10;"""Boualem""";22;;
"""Maksymilian""";35;"""Hamid""";9;"""Ergün""";21;;
"""Marzouk""";35;"""Hani""";9;"""Felice""";21;;
"""Abdelkhalak""";34;"""Jeff""";9;"""Hilmi""";21;;
"""Eden""";33;"""Numan""";9;"""Yuri""";21;;
"""Michelangelo""";33;"""Sofyan""";9;"""Aurelio""";20;;
"""Samer""";33;"""Wassime""";9;"""Donovan""";20;;
"""Stan""";33;"""Yani""";9;"""Ferdi""";20;;
"""Urbain""";33;"""Yoni""";9;"""Gwenaël""";20;;
